t,C,B,D,L,P,R,drift,shock,C_std_w
--- new run 20251104_145948 ---,,,,,,,,,
125,0.2112625826553213,0.03284572872459886,0.22829350953585953,0.2512608890970948,0.06400618457447635,0.2838417335704496,-0.0002,0.0,0.0676134624029455
126,0.21947733077898957,0.038800134538229225,0.26858962035610123,0.2503514899894203,0.1080869556686107,0.2548420170475871,-0.0002,0.0,0.06621554893938483
127,0.218313315809027,0.03321904566611937,0.26264466565553546,0.2739466617123069,0.13944476697795904,0.20955868630404012,-0.0002,0.0,0.06422431251352906
128,0.2119847819323732,0.005765516891782632,0.2727502400188293,0.2541858523357325,0.09377193370852976,0.2407130854647445,-0.0002,0.0,0.06260718131676189
129,0.21742701029715694,0.02058461941639208,0.2875455649246517,0.23992248084234963,0.12464008727354939,0.23351428557193088,-0.0002,0.0,0.06102718453315629
130,0.2130315032556282,0.05347767775108064,0.26019561039637307,0.2142984174118356,0.13077998359148027,0.21244432119801912,-0.0002,0.0,0.05902976938466317
131,0.21268029589261936,0.07374120971214555,0.2679982427202447,0.18660928087594267,0.13296595161983327,0.2019059905523981,-0.0002,0.0,0.0574749873755501
132,0.22602187366560783,0.10121619458745697,0.24902165322489855,0.17343408801175628,0.1693030587811233,0.26906379222967347,-0.0002,0.0,0.055065418718305205
133,0.2420354620249707,0.16118645451429506,0.2509183435747168,0.179999729223803,0.21530681864960313,0.26533074804233453,-0.0002,0.0,0.05180890052859276
134,0.2293561734436205,0.13189598040017406,0.25442461149780576,0.19354523263976695,0.1904323301150557,0.21594381379736,-0.0002,0.0,0.04889263121664447
135,0.22327766485600636,0.08879409496355102,0.27438749002297563,0.17079393715041163,0.1861919173439223,0.22232057432749516,-0.0002,0.0,0.04575334074350286
136,0.22161091928089152,0.10736832133639232,0.2643404060615714,0.1857554081648297,0.159490108580297,0.21146915355715482,-0.0002,0.0,0.043045425064477956
137,0.21780657586791238,0.0766358537027562,0.2982934225524289,0.18494291132281995,0.13731088395138802,0.2008979996152004,-0.0002,0.0,0.04061962244343446
138,0.20885600569995008,0.06998399928105796,0.31930901629217917,0.13707382597726286,0.10619470870262544,0.1895547820684755,-0.0002,0.0,0.03795815258267532
139,0.23553759775084446,0.14595317426409216,0.347979383068139,0.13373027560333456,0.12755469617495063,0.2512778671573856,-0.0002,0.0,0.0351700280327637
140,0.2422908091733103,0.13894085646083046,0.3369869827452122,0.17008858189999143,0.1423799611189389,0.2714178618170623,-0.0002,0.0,0.03233373355575972
141,0.2617002291117563,0.12369418448241304,0.3947130767154945,0.22137630594780122,0.1593583947851214,0.2919465569614794,-0.0002,0.0,0.03008607321885804
142,0.2587868880631711,0.06287635831512198,0.41384437052041073,0.21555304833104152,0.17237556595996806,0.31242033931686236,-0.0002,0.0,0.02789043538794469
143,0.24564954236922887,0.052637605271873715,0.3631299165147982,0.22658928528326858,0.1501340563867562,0.30251451653513217,-0.0002,0.0,0.0264182833647561
144,0.2378558280408766,0.03450230994904788,0.3528826888571426,0.15730365656529033,0.18664247020370173,0.3101148996049264,-0.0002,0.0,0.025043602647941914
145,0.24181622678005152,0.0678442878366138,0.41227794375144067,0.15798145024217286,0.13256938252848446,0.28329829409353885,-0.0002,0.0,0.024264766916160727
146,0.2277230046384388,0.03163715340971249,0.3972217044570907,0.1603708895841522,0.07250376451778731,0.2935725588937854,-0.0002,0.0,0.022653328534897176
147,0.2223341519667657,0.0,0.40614266234109103,0.15708615522884276,0.06309482734200998,0.291381267215546,-0.0002,0.0,0.021829847283171243
148,0.2208043527856113,0.0,0.3877685190389658,0.10660346350277614,0.06220600789653011,0.34674727853424553,-0.0002,0.0,0.021002597028267962
149,0.24260123475641768,0.05941485188653813,0.4274230469353141,0.12777751152832287,0.041911604174130465,0.39002980218073335,-0.0002,0.0,0.021066810487702543
150,0.23929830306269648,0.057731025253309066,0.42535678164242186,0.11904069757314492,0.04467046114467933,0.37697335513309166,-0.0002,0.0,0.02112544029854688
151,0.24088162673207913,0.055217560172115876,0.392818808380604,0.10783078643092936,0.11308715524317399,0.37488553429423327,-0.0002,0.0,0.021437446133658992
152,0.23978925953447983,0.04805774322896299,0.4087900367537556,0.12907444108203323,0.0796740894680118,0.36867077081013594,-0.0002,0.0,0.02173455034624542
153,0.24927059906393817,0.07560601845700594,0.41688516562591876,0.13273306238708638,0.1262946195262738,0.3483375880209466,-0.0002,0.0,0.0222070216629727
154,0.24229744403801967,0.07808839531023494,0.40128340566826665,0.1774423092593736,0.06773880754797784,0.3282333371564338,-0.0002,0.0,0.02252623826131191
155,0.24395499596168976,0.062213686329397416,0.42118959436341435,0.19563057354265942,0.10959463535513979,0.28101235188631407,-0.0002,0.0,0.022871512051605092
156,0.24161227633120688,0.0847279366003118,0.4123911984347652,0.17566181642491416,0.12578169135631542,0.25340816440424463,-0.0002,0.0,0.023084862223808844
157,0.22339729337816638,0.02242053774088213,0.4012846437670861,0.13072869087565706,0.10631421672419507,0.26455480731677766,-0.0002,0.0,0.022732074798871713
